ID,Статус,USDT,TON,Валюта,Продукт,BSC адрес,TON адрес,TX Hash,Дата
FT-TF6A1SB19331,paid,500,,usdt,,0x0fA170dad98b34467fc42edb3B0787a302964Cc2,,0xea5074a42a580406ca288aabfb556e18e285f4119cc509aaf3666169f83b6af9,2026-05-17T08:25:04.011Z
FT-TF68LZ42FC23,expired,500,,usdt,,0x0fA170dad98b34467fc42edb3B0787a302964Cc2,,,2026-05-17T07:53:59.118Z
FT-TF68HYC159C3,paid,500,,usdt,,0x5B42ABAE085D0584Dce5F39fEaAad90F4b2DE8E3,,0x7ce86cf5ff783a92070c0e88e50b590c412d4e28852804de5935bb00841d2873,2026-05-17T07:51:34.810Z
FT-TF67UH994687,paid,750,1.499013,ton,,0xa9D6871A8b75d4f816aa9fbb6c20e154eB993789,,0x502fd07b15462ebfff1daa823c1379b7d0b7a3e7e2006fa8ed00e9e6e2e8f236,2026-05-17T07:37:29.608Z
FT-TF67SV565B40,paid,1500,2.999414,ton,,0xA3989CA119d42785264149BAabA1A5219e10A9aD,,0x5d4a793eef409eb526f6139565233b7f7cecfde30e96cb09537156807616fb97,2026-05-17T07:36:31.920Z
FT-TF64TX235DEA,paid,650,1.299399,ton,,0x540677920359E87E5C70ef0bDc6fb0BeB98B6806,,0x5ccb8e068e1a82e5bff6c5c02314c1b93f387ac1c7da71be75619bf5fb5b1399,2026-05-17T06:32:21.412Z
FT-TF5Q67C1DA38,paid,1300,2.599309,ton,,0x1E161596649776C2D5dA10F0e31340AF82b4e9E8,,0x12c43b9510394eb77e9a2651b1e48fe837977d90c1be48e3bd2488fb91640f5b,2026-05-17T01:15:43.884Z
FT-TF58UW906FDA,paid,651,1.302053,ton,,0xde363b15ebb41fb61928274f3b4c1d55bee6d377,,0x5ed6e953bb031b1346f3670b30d1e7e442f11a051347e9b8bb07a1b607bd2062,2026-05-16T19:01:44.517Z
FT-TF58PVADE307,waiting,500,,usdt,,0xde363b15ebb41fb61928274f3b4c1d55bee6d377,,,2026-05-16T18:58:43.380Z
FT-TF58M5277394,waiting,500,,usdt,,0xde363b15ebb41fb61928274f3b4c1d55bee6d377,,,2026-05-16T18:56:29.189Z
